MS308,Stochastic Modelling,"<a href='https://drive.google.com/file/d/1T95FsuqZqOivll_1m9DNayuf3x81pJHl/view?usp=sharing'target=""_blank"">2019</a>"
MS240,Complex Analysis,"<a href='https://drive.google.com/file/d/1axT_1QbbnsfXGuhteBug5ZWGJBfUeXc0/view?usp=sharing'target=""_blank"">2019</a>"
MS308A,Stochastic Modelling,"<a href='https://drive.google.com/file/d/1zmaoioc6iHxJ2oaqKe6L9LK0WAr8z_bd/view?usp=sharing'target=""_blank"">2019</a>"
MS455,Simulation for Finance,"<a href='https://drive.google.com/file/d/1j-s9QMcIHgbia0OAgOKF7g20x1u4RSXV/view?usp=sharing'target=""_blank"">2019</a>"
MS508,Probability and Finance II (Advanced),"<a href='https://drive.google.com/file/d/1bdyE8Efn2pQvoJ2DDZCpfaHHzvBNBUtF/view?usp=sharing'target=""_blank"">2019</a>"
MS406,Coding and Cryptography,"<a href='https://drive.google.com/file/d/1yVTKTfGfq3ahnaMLcKwn-qXlzLU_65aW/view?usp=sharing'target=""_blank"">2019</a>"
MS339,Mechanics,"<a href='https://drive.google.com/file/d/1VZnKY-SpA2vfw3w7HiN5xJ9fjHrmytkQ/view?usp=sharing'target=""_blank"">2019</a>"
MS427,Financial Economics I,"<a href='https://drive.google.com/file/d/1UDpi2ZDvhmQoSbFWtWZaApRH5N3RV0hu/view?usp=sharing'target=""_blank"">2019</a>"
MS449,Risk Theory,"<a href='https://drive.google.com/file/d/150h-5UrhoCNnAO3m3GbN2b4BlEx5XiHk/view?usp=sharing'target=""_blank"">2019</a>"
MS437,Probability and Finance I (Intermediate),"<a href='https://drive.google.com/file/d/1lGlgZsKjhZ-Sx2mp8hBP8ifcm2HckM9g/view?usp=sharing'target=""_blank"">2019</a>"
MS408,Probability and Finance II (Intermediate),"<a href='https://drive.google.com/file/d/13ndE3r2mnsHz_RcuMVK1bh9NNLRX176V/view?usp=sharing'target=""_blank"">2019</a>"
MS509,Partial Differential Equations,"<a href='https://drive.google.com/file/d/13fPoDZXscCWPxVBgUzGbp7Hak5CQuhdS/view?usp=sharing'target=""_blank"">2019</a>"
MS410,Teaching & Assessing Senior Cycle Maths,"<a href='https://drive.google.com/file/d/1RzKHsyk0OZ-JgBj7Pt_xWAc3MSa_hlls/view?usp=sharing'target=""_blank"">2019</a>"
MS537,Probability and Finance I (Advanced),"<a href='https://drive.google.com/file/d/1pgOgkozTtIt1bbN5PBfpo9OFq0X1zn4N/view?usp=sharing'target=""_blank"">2019</a>"
MT218,Statistics for Business and Economics,"<a href='https://drive.google.com/file/d/10ix9zyT1otRiYHaRSneOg3NFS3Oj7QtG/view?usp=sharing'target=""_blank"">2019</a>"
MT541,Organisation and Management in the Networked Era,"<a href='https://drive.google.com/file/d/1myye5xsic7cKDTUVXZ-sljgcFmltG8Ot/view?usp=sharing'target=""_blank"">2019</a>"
MT119,The Global Business Environment,"<a href='https://drive.google.com/file/d/1R4DirsOt_G6dRhKJMozoKsvDSH8WBp9f/view?usp=sharing'target=""_blank"">2019</a>"
MT302A,Organisation Theory and Practice,"<a href='https://drive.google.com/file/d/11QEmHMd6U2uP8GIYpeK3dFk1xSWFXAz3/view?usp=sharing'target=""_blank"">2019</a>"
MT314,Project Management,"<a href='https://drive.google.com/file/d/1zPRoGjm_OVRaFLbIUcSMHTRva-M3tTW1/view?usp=sharing'target=""_blank"">2019</a>"
NS280,Society Health & Illness,"<a href='https://drive.google.com/file/d/1D1TFiEIJM4QreQi1ULWdqylRZaC1XSnE/view?usp=sharing'target=""_blank"">2019</a>"
MT5124,Digital Business,"<a href='https://drive.google.com/file/d/1zT765qpXTuC8-rsRT1R7a4iD4tbNfgVK/view?usp=sharing'target=""_blank"">2019</a>"
MT307,Supply Chain Management,"<a href='https://drive.google.com/file/d/1q_fcp1muswJNGPkLwSf2vebCof7lg3em/view?usp=sharing'target=""_blank"">2019</a>"
MT215,Airline Structures and Standards,"<a href='https://drive.google.com/file/d/1nEufjFfLblEdaVTza2umCJOPh4WpMql4/view?usp=sharing'target=""_blank"">2019</a>"
NS134,Perspectives on Health,"<a href='https://drive.google.com/file/d/1LPG8E6-ghlCi8uNn3Vog41RfwDvwgn8_/view?usp=sharing'target=""_blank"">2019</a>"
NS221,General Nursing 2B,"<a href='https://drive.google.com/file/d/1dV2TFiuxxfwJZFN74HYNJjYOwg1GSSAZ/view?usp=sharing'target=""_blank"">2019</a>"
NS132,Mental Health Nursing 1,"<a href='https://drive.google.com/file/d/1bdPuSAOo7yU0ficIj2I2xkW-tAVeSyfR/view?usp=sharing'target=""_blank"">2019</a>"
NS223,General Nursing 2D,"<a href='https://drive.google.com/file/d/1pwWWJIz1RGdYDdUYi7RBTxKN3QUHXpAX/view?usp=sharing'target=""_blank"">2019</a>"
NS224,Altered Bodily Processes,"<a href='https://drive.google.com/file/d/1JBHDH7lxboqyOaJYvKJLpVrX7hZsXFYe/view?usp=sharing'target=""_blank"">2019</a>"
NS213,Nursing and Physical Health 1,"<a href='https://drive.google.com/file/d/16EW92F_jCG3-7dIUePL6rcDkcmKp2kok/view?usp=sharing'target=""_blank"">2019</a>"
